Site,Week,Date collected,Sampling week,Lophopanopeus (early stage),Lophopanopeus (late stage),Pachygrapsus (early stage),Pachygrapsus (late stage),Majidae (spider crabs),Hemigrapsus (early stage),Hemigrapsus (late stage),Pea crabs (early stage),Pea crabs (late stage),Emerita (early),Emerita (late),Pagurid (early),Cancer spp. (early stage),Cancer spp. (late stage),Porcellainids (early stage)*,Porcellanids (late stage),P. cinctipes megalopae,Pachycheles (mega),Cancer spp (mega),Cancer anntenarrius (mega),Cancer productus (mega),Cancer magister (mega),Cancer magister (juvenile-no spines),Pachycheles (mega),Hemigrapsus (mega),Pachygrapsus (mega),Spider crab (mega),Rockfish,Rockfish black and yellow?,eel like fish,sculpin/cabezon like fish,unknown fish,unknown juvie crab- dungie?,Kelp isopods,Large shrimp,Notes
TC,Sampling Period 1,5/26/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,17,0,39,0,0,0,0,0,not much else besides a few cumaceans
FB,Sampling Period 1,5/27/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0,0,0,0,0,0,0,0,0,0,0,0,
AC,Sampling Period 1,5/28/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,7,1,0,0,0,
AC,Sampling Period 1,5/28/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,12,44,3,0,25,3,
FB,Sampling Period 1,5/28/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,1,0,0,0,0,0,0,8,1,0,0,69,0,
AP,Sampling Period 1,5/30/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,amphipods
AP,Sampling Period 1,5/30/13,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,
PC,Sampling Period 1,5/30/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,amphipods
PC,Sampling Period 1,5/30/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TC,Sampling Period 2,6/9/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,8,0,0,0,0,0,"shrimp, amphipods"
TC,Sampling Period 2,6/10/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,1,1,0,0,0,
FB,Sampling Period 2,6/11/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,
FB,Sampling Period 2,6/11/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,8,0,0,38,1,
AC,Sampling Period 2,6/12/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,8,7,5,0,0,0,
AC,Sampling Period 2,6/12/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,
AP,Sampling Period 2,6/13/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,
AP,Sampling Period 2,6/14/13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,
PC,Sampling Period 2,6/14/13,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
PC,Sampling Period 2,6/14/13,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
FB,Sampling Period 3,6/25/13,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FB,Sampling Period 3,6/25/13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
AC,Sampling Period 3,6/26/13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
AC,Sampling Period 3,6/26/13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,
TC,Sampling Period 3,6/26/13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
TC,Sampling Period 3,6/26/13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
AP,Sampling Period 3,6/28/13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PC,Sampling Period 3,6/28/13,3,0,1,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
PC,Sampling Period 3,6/28/13,3,3,0,0,0,2,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,
FB,Sampling Period 4,7/9/13,4,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
FB,Sampling Period 4,7/9/13,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,
AC,Sampling Period 4,7/10/13,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,
AC,Sampling Period 4,7/10/13,4,104,0,2,0,22,8,3,2,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TC,Sampling Period 4,7/10/13,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TC,Sampling Period 4,7/10/13,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
AP,Sampling Period 4,7/11/13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AP,Sampling Period 4,7/11/13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,
PC,Sampling Period 4,7/12/13,4,19,0,1,2,0,5,0,3,0,1,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PC,Sampling Period 4,7/12/13,4,3,0,0,0,0,4,0,0,0,5,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TC,Sampling Period 5,7/22/13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cumaceans and ostracods
TC,Sampling Period 5,7/22/13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FB,Sampling Period 5,7/23/13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AC,Sampling Period 5,7/24/13,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
AC,Sampling Period 5,7/24/13,5,81,0,0,0,1,6,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
AP,Sampling Period 5,7/25/13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AP,Sampling Period 5,7/25/13,5,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AP,Sampling Period 5,7/25/13,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PC,Sampling Period 5,7/26/13,5,4,0,0,0,0,0,0,0,0,94,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,
FB,Sampling Period 6,8/6/13,6,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
FB,Sampling Period 6,8/6/13,6,0,0,0,0,3,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
AC,Sampling Period 6,8/7/13,6,975,0,0,0,106,0,0,18,0,0,0,90,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
AC,Sampling Period 6,8/7/13,6,68,0,0,0,8,0,0,0,0,0,0,3,0,0,6,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,0,3,0,7,0,
TC,Sampling Period 6,8/7/13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TC,Sampling Period 6,8/7/13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,
AP,Sampling Period 6,8/8/13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,285,0,1,0,0,0,0,0,0,0,0,
AP,Sampling Period 6,8/8/13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,0,0,0,0,0,0,0,1,4,0,
PC,Sampling Period 6,8/9/13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0,0,
PC,Sampling Period 6,8/9/13,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,
FB,Sampling Period 7,8/19/13,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FB,Sampling Period 7,8/19/13,7,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,
AC,Sampling Period 7,8/20/13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
AC,Sampling Period 7,8/20/13,7,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TC,Sampling Period 7,8/21/13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TC,Sampling Period 7,8/21/13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
AP,Sampling Period 7,8/22/13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,
AP,Sampling Period 7,8/22/13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
PC,Sampling Period 7,8/23/13,7,124,0,1,0,1,1,0,0,0,1,5,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
PC,Sampling Period 7,8/23/13,7,148,0,0,0,17,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
FB,Sampling Period 5,7/23/13,5,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,