Site,Date,Transect,Quadrat,BareRock,BareSand,Mastocarpus papillatus,Endocladia muricata,Fucus gardneri,Neorhodomela larix,Microcladia coulteri,Mazzaella splendens/flaccida,Mazaella SMALL,Ulva fenestrata,Phyllospadix,Egregia menziesii,Crypotpluera sp.,Analipus japonicus,Callophyllus sp.,Pikea sp (?),Odonthalia floccosa,Halosaccion glandiforme,Corraline red,Gastroclonium subarticulum,Prionitis lanceolata,barnacles,porphyra,Anthopluera,Brown slime,green tufts,green filamentous puffy,puffy filamentous red,branching brwn from CM,rack,spirobilids,TOTAL (=100),Odonthalia washingtoniensis (?)- flat with spikes
PC,6/14/13,M,1,52,,10,35,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
PC,6/14/13,M,2,48,,15,35,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
PC,6/14/13,M,3,45,,5,40,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
PC,6/14/13,M,4,45,,20,20,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
PC,6/14/13,M,5,30,,10,50,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
PC,6/14/13,M,6,25,,50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,6/14/13,M,7,55,,15,25,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
PC,6/14/13,M,8,72,,10,15,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
PC,6/14/13,M,9,86,,10,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
PC,6/14/13,M,10,97,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,6/13/13,M,1,83,,10,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
AP,6/13/13,M,2,22,,70,,,,,3,,,,,,,,,,,3,,,2,,,,,,,,,,,
AP,6/13/13,M,3,10,,85,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
AP,6/13/13,M,4,48,,45,5,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
AP,6/13/13,M,5,88,,10,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
AP,6/13/13,M,6,55,,40,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
AP,6/13/13,M,7,65,,25,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
AP,6/13/13,M,8,80,,5,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
AP,6/13/13,M,9,50,,40,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
AP,6/13/13,M,10,87,,10,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
AC,6/12/13,M,1,40,,50,,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,
AC,6/12/13,M,2,38,,55,,,,,,,,,,,,,,,2,,,,,,5,,,,,,,,,
AC,6/12/13,M,3,45,,50,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
AC,6/12/13,M,4,90,,5,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
AC,6/12/13,M,5,80,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,6/12/13,M,6,28,,60,,,,,,,,,,,,,,,2,5,,,,,5,,,,,,,,,
AC,6/12/13,M,7,55,,40,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
AC,6/12/13,M,8,90,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,6/12/13,M,9,75,,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,6/12/13,M,10,25,,50,10,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
FB,6/11/13,M,1,95,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB,6/11/13,M,2,69,,25,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,
FB,6/11/13,M,3,65,,,20,,,,,,,,,,,,,,,10,,,5,,,,,,,,,,,
FB,6/11/13,M,4,73,,2,20,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,
FB,6/11/13,M,5,89,,,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
FB,6/11/13,M,6,85,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB,6/11/13,M,7,80,,10,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
FB,6/11/13,M,8,25,,15,50,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,,
FB,6/11/13,M,9,20,,20,50,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
FB,6/11/13,M,10,58,,2,15,,,,,,,,,,,,,,,,,,10,,15,,,,,,,,,
TC,6/10/13,M,1,37,,40,20,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
TC,6/10/13,M,2,23,,50,25,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
TC,6/10/13,M,3,58,,30,10,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
TC,6/10/13,M,4,17,,30,50,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,
TC,6/10/13,M,5,50,,20,25,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,
TC,6/10/13,M,6,47,,50,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
TC,6/10/13,M,7,65,,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC,6/10/13,M,8,90,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
TC,6/10/13,M,9,84,,,10,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,
TC,6/10/13,M,10,80,,5,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,