Site,Date,Transect,Quadrat number,>1m2,1m2-50cm2,50cm2-10cm2,<10cm2->course sand,cemented rock that’s 1m2-10cm2,bare cobble (>2cm),bare sand (fine-very course sand),rocky bench,tidepool,shell hash,wrack,TOTAL (=100?)
PC,6/14/13,M,1,,40,,,20,20,,30,,,,
PC,6/14/13,M,2,,10,0.5,10,15,10,,20,,,,
PC,6/14/13,M,3,,,90,10,,,,,,,,
PC,6/14/13,M,4,,,25,10,,10,,,5,,,
PC,6/14/13,M,5,,,60,20,10,10,,,,,,
PC,6/14/13,M,6,,,90,10,,,,,,,,
PC,6/14/13,M,7,,,70,20,5,5,,,,,,
PC,6/14/13,M,8,,75,,,5,,20,,,,,
PC,6/14/13,M,9,,80,,,10,,10,,,,,
PC,6/14/13,M,10,,95,,5,,,,,,,,
AP,6/13/13,M,1,,,40,,,10,,50,,,,
AP,6/13/13,M,2,,,10,30,,,,70,,,,
AP,6/13/13,M,3,,,35,10,35,,,,,,,
AP,6/13/13,M,4,,,60,5,40,,5,,,,,
AP,6/13/13,M,5,,,60,5,10,15,,10,,,,
AP,6/13/13,M,6,,,40,10,,,,,50,,,
AP,6/13/13,M,7,,,40,20,10,30,,,,,,
AP,6/13/13,M,8,,,20,10,20,40,,10,,,,
AP,6/13/13,M,9,,,50,,5,,45,,,,,
AP,6/13/13,M,10,,,25,,40,15,,20,,,,
AC,6/12/13,M,1,,,20,,50,,,20,10,,,
AC,6/12/13,M,2,,,15,,65,5,,15,,,,
AC,6/12/13,M,3,,5,40,,50,,,,5,,,
AC,6/12/13,M,4,,,15,30,5,,,50,,,,
AC,6/12/13,M,5,,,15,10,60,15,,,,,,
AC,6/12/13,M,6,,,20,10,,10,60,,,,,
AC,6/12/13,M,7,,,10,40,,,,50,,,,
AC,6/12/13,M,8,,,50,20,20,10,,,,,,
AC,6/12/13,M,9,,,30,60,10,,,,,,,
AC,6/12/13,M,10,,,20,30,50,,,,,,,
FB,6/11/13,M,1,,,45,15,20,20,,,,,,
FB,6/11/13,M,2,,,40,,20,10,30,,,,,
FB,6/11/13,M,3,,,40,25,,30,5,,,,,
FB,6/11/13,M,4,,50,30,,10,10,,,,,,
FB,6/11/13,M,5,,,50,5,30,15,,,,,,
FB,6/11/13,M,6,,,20,45,20,15,,,,,,
FB,6/11/13,M,7,,,70,15,10,5,,,,,,
FB,6/11/13,M,8,,,80,,,,,20,,,,
FB,6/11/13,M,9,,5,55,20,20,,,,,,,
FB,6/11/13,M,10,,25,50,10,5,10,,,,,,
TC,6/10/13,M,1,,,80,10,10,,,,,,,
TC,6/10/13,M,2,,,50,20,10,,,,,,,
TC,6/10/13,M,3,,,60,30,10,,,,,,,
TC,6/10/13,M,4,,,60,20,20,,,,,,,
TC,6/10/13,M,5,,,45,50,5,,,,,,,
TC,6/10/13,M,6,,,60,40,,,,,,,,
TC,6/10/13,M,7,,,45,20,15,,,,10,,,
TC,6/10/13,M,8,,,35,30,25,10,,,,,,
TC,6/10/13,M,9,,,40,30,10,20,,,,,,
TC,6/10/13,M,10,,,90,10,,,,,,,,