Site,Date,Tuffy number,Tuffy Petrolisthes cinctipes PL,Tuffy Pugettia PL,Tuffy H. nudus PL,Tuffy Cancer sp.,Tuffy Sculpin,Week
AC,7/11/14,1,0,3,1,0,0,Week 3
AC,7/11/14,2,0,0,0,0,0,Week 3
AC,7/11/14,3,0,0,0,0,0,Week 3
AC,7/11/14,4,0,1,0,0,0,Week 3
FB,7/11/14,1,0,3,0,0,0,Week 3
FB,7/11/14,2,0,0,0,0,0,Week 3
FB,7/11/14,3,0,0,0,0,0,Week 3
FB,7/11/14,4,0,0,0,0,0,Week 3
AP,7/13/14,1,0,0,0,0,0,Week 3
AP,7/13/14,2,0,0,0,0,0,Week 3
AP,7/13/14,3,0,NA,0,0,0,Week 3
AP,7/13/14,4,0,NA,0,0,0,Week 3
FB,7/26/14,1,1,0,0,0,0,Week 4
FB,7/26/14,2,1,0,0,2,0,Week 4
FB,7/26/14,3,0,0,0,0,0,Week 4
FB,7/26/14,4,0,4,0,0,0,Week 4
AC,7/28/14,1,0,1,0,0,0,Week 4
AC,7/28/14,2,0,1,0,0,0,Week 4
AC,7/28/14,3,0,0,0,0,0,Week 4
AC,7/28/14,4,0,0,0,0,0,Week 4
AP,7/28/14,1,0,3,0,0,0,Week 4
AP,7/28/14,2,0,1,0,0,0,Week 4
AP,7/28/14,3,0,0,0,0,0,Week 4
AP,7/28/14,4,0,0,0,0,0,Week 4
TC,8/1/14,1,0,0,0,0,0,Week 4
TC,8/1/14,2,0,0,0,0,0,Week 4
TC,8/1/14,3,0,0,0,0,0,Week 4
TC,8/1/14,4,0,0,0,0,0,Week 4
AP,8/12/14,1,0,6,0,0,0,Week 5
AP,8/12/14,2,0,0,0,0,0,Week 5
AP,8/12/14,3,0,0,0,0,0,Week 5
AP,8/12/14,4,0,0,0,0,0,Week 5
AC,8/13/14,1,0,2,0,0,0,Week 5
AC,8/13/14,2,0,0,0,0,0,Week 5
AC,8/13/14,3,0,0,0,0,0,Week 5
AC,8/13/14,4,0,0,0,0,0,Week 5
FB,8/13/14,1,0,1,0,0,0,Week 5
FB,8/13/14,2,0,0,0,0,0,Week 5
FB,8/13/14,3,0,0,0,0,0,Week 5
FB,8/13/14,4,0,0,0,0,0,Week 5
TC,8/14/14,1,0,1,0,0,1,Week 5
TC,8/14/14,2,0,0,0,0,0,Week 5
TC,8/14/14,3,0,0,0,0,0,Week 5
TC,8/14/14,4,0,0,0,0,0,Week 5