Date,Site,Quadrat,Bed depth (cm)
7/2/15,BML,1,4.5
6/10/15,BML,1,5.5
6/10/15,BML,2,6
6/10/15,BML,3,6
8/14/15,BML,5,5
8/14/15,BML,5,4
8/14/15,BML,5,5
8/14/15,BML,5,3.5
8/14/15,BML,5,5.5
8/14/15,BML,7,6.5
8/14/15,BML,7,4
8/14/15,BML,7,5
8/14/15,BML,7,6
8/14/15,BML,7,6
8/14/15,BML,9,7
8/14/15,BML,9,8
8/14/15,BML,9,9
8/14/15,BML,9,6.5
8/14/15,BML,9,7.5
8/14/15,BML,1,12.5
8/14/15,BML,1,8
8/14/15,BML,1,7
8/14/15,BML,1,9.5
8/14/15,BML,1,8
8/14/15,BML,3,10
8/14/15,BML,3,10.5
8/14/15,BML,3,9.5
8/14/15,BML,3,10
8/14/15,BML,3,10
7/3/15,SR,1,13
7/2/15,SR,3,5
7/6/15,SR,1,8
7/6/15,SR,1,7
7/6/15,SR,1,9
7/6/15,SR,3,12
7/6/15,SR,3,9
7/6/15,SR,3,8
7/6/15,SR,5,12
7/6/15,SR,5,12
7/6/15,SR,5,13
7/6/15,SR,7,12
7/6/15,SR,7,15
7/6/15,SR,7,9
7/6/15,SR,9,15
7/6/15,SR,9,14
7/6/15,SR,9,13
8/15/15,SR,1,7.5
8/15/15,SR,1,9.5
8/15/15,SR,1,11
8/15/15,SR,1,11.5
8/15/15,SR,1,8
8/15/15,SR,5,6.5
8/15/15,SR,5,9.5
8/15/15,SR,5,8
8/15/15,SR,5,11
8/15/15,SR,5,10.5
8/15/15,SR,7,9
8/15/15,SR,7,8
8/15/15,SR,7,8.5
8/15/15,SR,7,8
8/15/15,SR,7,11.5
8/15/15,SR,3,7.5
8/15/15,SR,3,8
8/15/15,SR,3,9.5
8/15/15,SR,3,8
8/15/15,SR,3,7
8/15/15,SR,9,10.5
8/15/15,SR,9,11
8/15/15,SR,9,12
8/15/15,SR,9,14.5
8/15/15,SR,9,11