Site_Name,Site,Lat,Lon,Size 1,Type
Pacifica,PC,37.596935,-122.509446,1320,Focal
Twin Coves,TC,38.458225,-123.144095,999.951186,Focal
Arena Cove,AC,38.914984,-123.710769,46.9341667,Focal
"Abalone Point, Point Reyes",AP,37.92992,-122.745125,18.2466667,Focal
Cape Blanco,CB,42.839656,-124.563051,550,Other
Fort Bragg/Noyo Harbor,FB,39.426116,-123.813343,647.60625,Focal
Hardy Creek,HC,39.711524,-123.810529,26.55375,Other
Kirk Creek,KC,35.985203,-121.493401,25,Other
Morro Bay (harbor),MB,35.364556,-120.869093,119.9,Other
MacKerricher,MK,39.489826,-123.800436,563.2,Other
Patricks Point,PP,41.131497,-124.163464,1620.5,Other
Point Saint George,PSG,41.770604,-124.245267,3516,Other
Twin Coves,TC,38.458225,-123.144095,999.951186,Focal
Timber Cove (Windermere Point),WP,38.526181,-123.267863,238.71,Other